indice_tiempo,ipc_nucleo_nacional,saldo_base_monetaria
2016-02-01,,563835.9541174127
2016-03-01,,584929.2595442409
2016-04-01,,582016.7644045649
2016-05-01,,585480.4261359219
2016-06-01,,619259.7394754714
2016-07-01,,670619.6900379824
2016-08-01,,676634.7981444759
2016-09-01,,680829.0230689591
2016-10-01,,693354.4565323485
2016-11-01,,719942.210303277
2016-12-01,100.0,790975.1016621726
2017-01-01,101.5039,816862.4545454546
2017-02-01,103.2105,829894.3888888889
2017-03-01,105.2057,789795.5
2017-04-01,107.427,795642.6666666666
2017-05-01,109.2069,784816.3333333334
2017-06-01,110.6653,813702.4761904762
2017-07-01,112.6183,852738.619047619
2017-08-01,114.231,860634.0454545454
2017-09-01,116.0978,875092.9047619047
2017-10-01,117.6245,888307.5714285715
2017-11-01,119.1358,906064.9
2017-12-01,121.1263,982797.6842105263
2018-01-01,122.9418,1026718.5909090909
2018-02-01,125.5123,1024489.4333333331
2018-03-01,128.746,1024145.385
2018-04-01,131.4884,1024598.0
2018-05-01,134.9794,1026253.0571428572
2018-06-01,140.4784,1067037.2
2018-07-01,144.964,1113215.5904761904
2018-08-01,149.8236,1197267.309090909
2018-09-01,161.272,1275411.65
2018-10-01,168.5933,1251676.0409090908
2018-11-01,174.1546,1259749.2789473685
2018-12-01,178.9326,1327551.2000000002
2019-01-01,184.3056,1346581.2272727273
2019-02-01,191.4115,1342322.07
2019-03-01,200.1771,1300799.5947368422
2019-04-01,207.7179,1327306.4736842106
2019-05-01,214.3182,1341852.2727272727
2019-06-01,220.1725,1345330.5
2019-07-01,224.9011,1382244.2857142857
2019-08-01,235.3317,1323978.619047619
2019-09-01,250.4818,1349048.6666666667
2019-10-01,260.0118,1385458.9090909092
2019-11-01,270.3554,1580776.894736842
2019-12-01,280.3107,1715624.6842105263
2020-01-01,287.1529,1689904.8181818181
2020-02-01,293.9922,1870607.388888889
2020-03-01,303.1665,1920231.105263158
2020-04-01,308.3681,2147120.7
2020-05-01,313.3195,2221676.4210526315
2020-06-01,320.5733,2159027.8095238097
2020-07-01,328.6943,2315228.0
2020-08-01,338.6645,2333886.65
2020-09-01,346.511,2317896.727272727
2020-10-01,358.4989,2324654.5714285714
2020-11-01,372.6154,2345522.4736842103
2020-12-01,390.7655,2433023.611111111
2021-01-01,406.0674,2603551.55
2021-02-01,422.5932,2592889.277777778
2021-03-01,441.72,2523566.590909091
2021-04-01,461.8578,2548708.3684210526
2021-05-01,477.9293,2540325.736842105
2021-06-01,495.1809,2701957.1428571427
2021-07-01,510.6974,2864204.8571428573
2021-08-01,526.6934,2930302.1428571427
2021-09-01,543.8748,2930527.5
2021-10-01,561.2843,3032867.736842105
2021-11-01,579.5414,3151509.523809524
2021-12-01,605.1759,3383347.35
2022-01-01,625.1594,3702429.128571429
2022-02-01,652.9838,3766891.1578947366
2022-03-01,694.7515,3663134.8095238097
2022-04-01,741.3622,3615568.8421052634
2022-05-01,779.9267,3708232.95
2022-06-01,819.5734,3896192.45
2022-07-01,879.6383,4215983.047619048
2022-08-01,939.4677,4298228.454545454
2022-09-01,991.2585,4180569.714285714
2022-10-01,1046.265,4229952.8
2022-11-01,1096.024,4400164.428571428
2022-12-01,1153.5771,4821671.55
2023-01-01,1215.3182,5292718.863636363
2023-02-01,1308.7788,5237316.211111111
2023-03-01,1403.1434,5166708.090909091
2023-04-01,1521.0163,5200756.166666667
2023-05-01,1640.2912,5394247.0
2023-06-01,1746.7824,5600168.8
2023-07-01,1860.2801,6105240.666666667
2023-08-01,2116.751,6397005.409090909
2023-09-01,2400.9928,6526667.857142857
2023-10-01,2612.5451,7144661.05
2023-11-01,2962.7206,7806569.8
